コード,上場廃止日,銘柄名,市場区分,上場廃止理由
7739,2026/04/21,キヤノン電子,プライム,支配株主等による買収（公開買付け、株式併合）
7092,2026/04/20,Ｆａｓｔ Ｆｉｔｎｅｓｓ Ｊａｐａｎ,プライム,ＭＢＯ（公開買付け、株式併合）
7450,2026/04/01,サンデー,スタンダード,支配株主等による買収（公開買付け、株式等売渡請求による取得）
2196,2026/03/30,エスクリ,スタンダード,オンザページに合併（会社合併）
5352,2026/03/30,黒崎播磨,プライム,支配株主等による買収（公開買付け、株式等売渡請求による取得）
7455,2026/03/30,パリミキホールディングス,スタンダード,ＭＢＯ（公開買付け、株式併合）
3924,2026/03/30,ランドコンピュータ,プライム,トランヴィアの完全子会社化（株式移転）
4333,2026/03/30,東邦システムサイエンス,プライム,トランヴィアの完全子会社化（株式移転）
6210,2026/03/30,ＴＯＹＯイノベックス,スタンダード,GMSグループの完全子会社化（株式移転）
6293,2026/03/30,日精樹脂工業,プライム,GMSグループの完全子会社化（株式移転）
7205,2026/03/30,日野自動車,プライム,ARCHIONの完全子会社化（株式交換）
7420,2026/03/30,佐鳥電機,プライム,MIRAINIホールディングスの完全子会社化（株式移転）
7467,2026/03/30,萩原電気ホールディングス,プライム,MIRAINIホールディングスの完全子会社化（株式移転）
8515,2026/03/30,アイフル,プライム,ムニノバホールディングスの完全子会社化（株式移転）
1841,2026/03/27,サンユー建設,スタンダード,ＭＢＯ（公開買付け、株式併合）
7923,2026/03/27,トーイン,スタンダード,他社による買収（公開買付け、株式等売渡請求による取得）
7116,2026/03/25,ダイワ通信,スタンダード,支配株主等による買収（株式併合）
7635,2026/03/24,杉田エース,スタンダード,ＭＢＯ（公開買付け、株式併合）
6406,2026/03/23,フジテック,プライム,他社による買収（公開買付け、株式併合）
6734,2026/03/23,ニューテック,スタンダード,他社による買収（公開買付け、株式等売渡請求による取得）
3961,2026/03/23,シルバーエッグ・テクノロジー,グロース,他社による買収（公開買付け、株式併合）
2389,2026/03/19,デジタルホールディングス,プライム,他社による買収（公開買付け、株式併合）
3655,2026/03/17,ブレインパッド,プライム,他社による買収（公開買付け、株式併合）
5386,2026/03/17,鶴弥,スタンダード,申請による上場廃止
7718,2026/03/13,スター精密,プライム,他社による買収（公開買付け、株式併合）
2374,2026/03/13,セントケア・ホールディング,プライム,ＭＢＯ（公開買付け、株式併合）
9719,2026/03/12,ＳＣＳＫ,プライム,支配株主等による買収（公開買付け、株式併合）
4957,2026/03/06,ヤスハラケミカル,スタンダード,ＭＢＯ（公開買付け、株式併合）
1949,2026/03/03,住友電設,プライム,他社による買収（公開買付け、株式併合）
7445,2026/02/26,ライトオン,スタンダード,ワールドの完全子会社化（株式交換）
9600,2026/02/26,アイネット,プライム,他社による買収（公開買付け、株式併合）
3526,2026/02/26,芦森工業,スタンダード,支配株主等による買収（公開買付け、株式併合）
5596,2026/02/25,アウトルックコンサルティング,グロース,支配株主等による買収（公開買付け、株式等売渡請求による取得）
9776,2026/02/16,札幌臨床検査センター,スタンダード,他社による買収（株式併合）
7817,2026/02/05,パラマウントベッドホールディングス,プライム,ＭＢＯ（公開買付け、株式併合）
5476,2026/01/29,日本高周波鋼業,スタンダード,神戸製鋼所の完全子会社化（株式交換）
6060,2026/01/29,こころネット,スタンダード,燦ホールディングスの完全子会社化（株式交換）
5191,2026/01/29,住友理工,プライム,支配株主等による買収（公開買付け、株式等売渡請求による取得）
4080,2026/01/28,田中化学研究所,スタンダード,住友化学の完全子会社化（株式交換）
6312,2026/01/27,フロイント産業,スタンダード,ＭＢＯ（公開買付け、株式併合）
5017,2026/01/20,富士石油,プライム,支配株主等による買収（公開買付け、株式併合）
2743,2026/01/16,ピクセルカンパニーズ,スタンダード,内部管理体制確認書の提出前で、内部管理体制等が適切に整備される又は適切に運用される見込みがなくなったと当取引所が認める場合
176A,2026/01/14,レジル,グロース,他社による買収（公開買付け、株式併合）
6542,2026/01/14,ＦＣホールディングス,スタンダード,他社による買収（公開買付け、株式併合）
6957,2026/01/13,芝浦電子,スタンダード,他社による買収（公開買付け、株式併合）
4745,2026/01/08,東京個別指導学院,スタンダード,支配株主等による買収（株式併合）
3094,2026/01/05,スーパーバリュー,スタンダード,支配株主等による買収（公開買付け、株式等売渡請求による取得）
