コード,銘柄名,市場区分,更新日
1301,極洋,プライム,2023/08/09
1332,日本水産,プライム,2023/08/09
1333,マルハニチロ,プライム,2023/08/09
1375,雪国まいたけ,プライム,2023/08/09
1377,サカタのタネ,プライム,2023/08/09
1379,ホクト,プライム,2023/08/09
1515,日鉄鉱業,プライム,2023/08/09
1518,三井松島ホールディングス,プライム,2023/08/09
1605,ＩＮＰＥＸ,プライム,2023/08/09
1662,石油資源開発,プライム,2023/08/09
1663,Ｋ＆Ｏエナジーグループ,プライム,2023/08/09
1414,ショーボンドホールディングス,プライム,2023/08/09
1417,ミライト・ホールディングス,プライム,2023/08/09
1419,タマホーム,プライム,2023/08/09
1429,日本アクア,プライム,2023/08/09
1430,ファーストコーポレーション,プライム,2023/08/09
1433,ベステラ,プライム,2023/08/09
1435,Ｒｏｂｏｔ　Ｈｏｍｅ,プライム,2023/08/09
1712,ダイセキ環境ソリューション,プライム,2023/08/09
1716,第一カッター興業,プライム,2023/08/09
1719,安藤・間,プライム,2023/08/09
1720,東急建設,プライム,2023/08/09
1721,コムシスホールディングス,プライム,2023/08/09
1726,ビーアールホールディングス,プライム,2023/08/09
1762,高松コンストラクショングループ,プライム,2023/08/09
1766,東建コーポレーション,プライム,2023/08/09
1780,ヤマウラ,プライム,2023/08/09
1786,オリエンタル白石,プライム,2023/08/09
1801,大成建設,プライム,2023/08/09
1802,大林組,プライム,2023/08/09
1803,清水建設,プライム,2023/08/09
1808,長谷工コーポレーション,プライム,2023/08/09
1810,松井建設,プライム,2023/08/09
1812,鹿島建設,プライム,2023/08/09
1813,不動テトラ,プライム,2023/08/09
1814,大末建設,プライム,2023/08/09
1815,鉄建建設,プライム,2023/08/09
1820,西松建設,プライム,2023/08/09
1821,三井住友建設,プライム,2023/08/09
1822,大豊建設,プライム,2023/08/09
1833,奥村組,プライム,2023/08/09
1835,東鉄工業,プライム,2023/08/09
1847,イチケン,プライム,2023/08/09
1852,淺沼組,プライム,2023/08/09
1860,戸田建設,プライム,2023/08/09
1861,熊谷組,プライム,2023/08/09
1870,矢作建設工業,プライム,2023/08/09
1871,ピーエス三菱,プライム,2023/08/09
1873,日本ハウスホールディングス,プライム,2023/08/09
1878,大東建託,プライム,2023/08/09
1879,新日本建設,プライム,2023/08/09
1882,東亜道路工業,プライム,2023/08/09
1884,日本道路,プライム,2023/08/09
1885,東亜建設工業,プライム,2023/08/09
1887,日本国土開発,プライム,2023/08/09
1888,若築建設,プライム,2023/08/09
1890,東洋建設,プライム,2023/08/09
1893,五洋建設,プライム,2023/08/09
1898,世紀東急工業,プライム,2023/08/09
1899,福田組,プライム,2023/08/09
1911,住友林業,プライム,2023/08/09
1925,大和ハウス工業,プライム,2023/08/09
1926,ライト工業,プライム,2023/08/09
1928,積水ハウス,プライム,2023/08/09
1929,日特建設,プライム,2023/08/09
1930,北陸電気工事,プライム,2023/08/09
1934,ユアテック,プライム,2023/08/09
1938,日本リーテック,プライム,2023/08/09
1939,四電工,プライム,2023/08/09
1941,中電工,プライム,2023/08/09
1942,関電工,プライム,2023/08/09
1944,きんでん,プライム,2023/08/09
1945,東京エネシス,プライム,2023/08/09
1946,トーエネック,プライム,2023/08/09
1949,住友電設,プライム,2023/08/09
1950,日本電設工業,プライム,2023/08/09
1951,エクシオグループ,プライム,2023/08/09
1952,新日本空調,プライム,2023/08/09
1959,九電工,プライム,2023/08/09
1961,三機工業,プライム,2023/08/09
1963,日揮ホールディングス,プライム,2023/08/09
1964,中外炉工業,プライム,2023/08/09
1968,太平電業,プライム,2023/08/09
1969,高砂熱学工業,プライム,2023/08/09
1975,朝日工業社,プライム,2023/08/09
1976,明星工業,プライム,2023/08/09
1979,大氣社,プライム,2023/08/09
1980,ダイダン,プライム,2023/08/09
1982,日比谷総合設備,プライム,2023/08/09
3267,フィル・カンパニー,プライム,2023/08/09
5074,テスホールディングス,プライム,2023/08/09
5076,インフロニア・ホールディングス,プライム,2023/08/09
6379,レイズネクスト,プライム,2023/08/09
2001,ニップン,プライム,2023/08/09
2002,日清製粉グループ本社,プライム,2023/08/09
2004,昭和産業,プライム,2023/08/09
2053,中部飼料,プライム,2023/08/09
2060,フィード・ワン,プライム,2023/08/09
2108,日本甜菜製糖,プライム,2023/08/09
2109,ＤＭ三井製糖ホールディングス,プライム,2023/08/09
2117,日新製糖,プライム,2023/08/09
2201,森永製菓,プライム,2023/08/09
2204,中村屋,プライム,2023/08/09
2206,江崎グリコ,プライム,2023/08/09
2207,名糖産業,プライム,2023/08/09
2209,井村屋グループ,プライム,2023/08/09
2211,不二家,プライム,2023/08/09
2212,山崎製パン,プライム,2023/08/09
2217,モロゾフ,プライム,2023/08/09
2220,亀田製菓,プライム,2023/08/09
2222,寿スピリッツ,プライム,2023/08/09
2229,カルビー,プライム,2023/08/09
2264,森永乳業,プライム,2023/08/09
2266,六甲バター,プライム,2023/08/09
2267,ヤクルト本社,プライム,2023/08/09
2269,明治ホールディングス,プライム,2023/08/09
2270,雪印メグミルク,プライム,2023/08/09
2281,プリマハム,プライム,2023/08/09
